,Name,Size,Extension,sizenum
1029,03823_0067_0119.jp2,4636402 Bytes,.jp2,4636402
4304,03823_0042_0015.jp2,4689335 Bytes,.jp2,4689335
4083,03823_0018_0025.jp2,4690197 Bytes,.jp2,4690197
1545,03823_0070_0003.jp2,4701945 Bytes,.jp2,4701945
2118,03823_0031_0063.jp2,4703365 Bytes,.jp2,4703365
3483,03823_0041_0052.jp2,4715991 Bytes,.jp2,4715991
4500,03823_0036_0042.jp2,4718998 Bytes,.jp2,4718998
4299,03823_0042_0010.jp2,4729005 Bytes,.jp2,4729005
5665,03823_0038_0029.jp2,4730932 Bytes,.jp2,4730932
3423,03823_0024_0064.jp2,4750608 Bytes,.jp2,4750608
1415,03823_0053_0102.jp2,4765731 Bytes,.jp2,4765731
996,03823_0067_0086.jp2,4779269 Bytes,.jp2,4779269
861,03823_0048_0097.jp2,4792722 Bytes,.jp2,4792722
601,03823_0071_0007.jp2,4795338 Bytes,.jp2,4795338
1622,03823_0070_0080.jp2,4795676 Bytes,.jp2,4795676
625,03823_0071_0031.jp2,4801328 Bytes,.jp2,4801328
4301,03823_0042_0012.jp2,4811165 Bytes,.jp2,4811165
716,03823_0071_0122.jp2,4813662 Bytes,.jp2,4813662
4335,03823_0042_0046.jp2,4841258 Bytes,.jp2,4841258
253,03823_0088_0016.jp2,4847707 Bytes,.jp2,4847707
639,03823_0071_0045.jp2,4860818 Bytes,.jp2,4860818
162,03823_0072_0160.jp2,4861654 Bytes,.jp2,4861654
997,03823_0067_0087.jp2,4861660 Bytes,.jp2,4861660
729,03823_0071_0135.jp2,4882121 Bytes,.jp2,4882121
3484,03823_0041_0053.jp2,4888858 Bytes,.jp2,4888858
628,03823_0071_0034.jp2,4891870 Bytes,.jp2,4891870
4303,03823_0042_0014.jp2,4894442 Bytes,.jp2,4894442
260,03823_0088_0023.jp2,4912090 Bytes,.jp2,4912090
395,03823_0088_0158.jp2,4929553 Bytes,.jp2,4929553
4,03823_0072_0002.jp2,4933341 Bytes,.jp2,4933341
3441,03823_0041_0010.jp2,4936502 Bytes,.jp2,4936502
678,03823_0071_0084.jp2,4942493 Bytes,.jp2,4942493
3580,03823_0049_0011.jp2,4947980 Bytes,.jp2,4947980
3117,03823_0039_0052.jp2,4956903 Bytes,.jp2,4956903
255,03823_0088_0018.jp2,4977600 Bytes,.jp2,4977600
1770,03823_0022_0015.jp2,4986791 Bytes,.jp2,4986791
863,03823_0048_0099.jp2,4996249 Bytes,.jp2,4996249
259,03823_0088_0022.jp2,4998446 Bytes,.jp2,4998446
