Collection in Repository,Collection Number,Location in Collection,Object,Container Type,MastersName,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum,MasterFilePath,MasterFileSize,MasterSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 43: Financial and legal materials, 1948: Scan 32",folder,03823_0043_0032.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2149,2005.jp2,Content/03823/image/2005.jp2,1992010 Bytes,1992010,bucket\03823_nccic\03823_0043\03823_0043_0032.tif,6436490 Bytes,6436490
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 47: Financial and legal materials, 1949: Scan 6",folder,03823_0047_0006.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2150,2569.jp2,Content/03823/image/2569.jp2,7057058 Bytes,7057058,bucket\03823_nccic\03823_0047\03823_0047_0006.tif,16007327 Bytes,16007327
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 39: Financial and legal materials, 1947: Scan 58",folder,03823_0039_0058.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2151,2211.jp2,Content/03823/image/2211.jp2,4039943 Bytes,4039943,bucket\03823_nccic\03823_0039\03823_0039_0058.tif,12386746 Bytes,12386746
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 48: Conference material, 1933-1949 and undated: Scan 110",folder,03823_0048_0110.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2152,2298.jp2,Content/03823/image/2298.jp2,5910733 Bytes,5910733,bucket\03823_nccic\03823_0048\03823_0048_0110.tif,20072436 Bytes,20072436
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 45: Financial and legal materials, 1949: Scan 53",folder,03823_0045_0053.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2153,2556.jp2,Content/03823/image/2556.jp2,4994007 Bytes,4994007,bucket\03823_nccic\03823_0045\03823_0045_0053.tif,13775603 Bytes,13775603
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 45: Financial and legal materials, 1949: Scan 13",folder,03823_0045_0013.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2154,2309.jp2,Content/03823/image/2309.jp2,4751959 Bytes,4751959,bucket\03823_nccic\03823_0045\03823_0045_0013.tif,13430708 Bytes,13430708
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 40: Financial and legal materials, 1948: Scan 23",folder,03823_0040_0023.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2155,2414.jp2,Content/03823/image/2414.jp2,5298141 Bytes,5298141,bucket\03823_nccic\03823_0040\03823_0040_0023.tif,19400441 Bytes,19400441
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 40: Financial and legal materials, 1948: Scan 17",folder,03823_0040_0017.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2156,2398.jp2,Content/03823/image/2398.jp2,4541634 Bytes,4541634,bucket\03823_nccic\03823_0040\03823_0040_0017.tif,18508607 Bytes,18508607
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 48: Conference material, 1933-1949 and undated: Scan 38",folder,03823_0048_0038.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2157,2463.jp2,Content/03823/image/2463.jp2,2471197 Bytes,2471197,bucket\03823_nccic\03823_0048\03823_0048_0038.tif,8983860 Bytes,8983860
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 49: Conference material, 1933-1949 and undated: Scan 36",folder,03823_0049_0036.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2158,2173.jp2,Content/03823/image/2173.jp2,2254472 Bytes,2254472,bucket\03823_nccic\03823_0049\03823_0049_0036.tif,6333130 Bytes,6333130
